School,Student_Count,Avg_Actual_MPS,Avg_Predicted_MPS,Avg_Bias,MAE,Actual_Not Proficient,Actual_Low Proficient,Actual_Nearly Proficient,Actual_Proficient,Actual_Highly Proficient,Pred_Not Proficient,Pred_Low Proficient,Pred_Nearly Proficient,Pred_Proficient,Pred_Highly Proficient
Badipa Elementary School,80,79.935,71.0043,-8.9307,9.1145,0.0,0.0,0.0,100.0,0.0,0.0,0.0,92.5,7.5,0.0
Don Alipio Fernandez Sr. Integrated School,20,73.635,70.4747,-3.1603,3.6266,0.0,0.0,100.0,0.0,0.0,0.0,0.0,95.0,5.0,0.0
Don Amadeo Perez Sr. Memorial Elementary School - East,11,75.9336,72.0787,-3.8549,5.5525,0.0,0.0,0.0,100.0,0.0,0.0,0.0,81.82,18.18,0.0
Don Clemente Blanco Memorial Elementary School,4,36.62,69.173,32.553,32.553,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Lananpin Elementary School,50,65.8794,69.942,4.0626,7.1475,0.0,0.0,80.0,20.0,0.0,0.0,0.0,92.0,8.0,0.0
Nancayasan Elementary School,27,60.18,68.1035,7.9235,7.997,0.0,0.0,100.0,0.0,0.0,0.0,0.0,96.3,3.7,0.0
Urdaneta City SPED Center,51,73.4114,70.6816,-2.7298,3.0565,0.0,0.0,72.55,27.45,0.0,0.0,0.0,100.0,0.0,0.0
Urdaneta I Central School,143,67.7276,68.8571,1.1295,2.7973,0.0,0.0,100.0,0.0,0.0,0.0,0.0,98.6,1.4,0.0
